model,distance,string
Google,2,0.982657794
Google,2,0.977609428
Google,18,0.388888889
Google,4,0.940949116
Google,2,0.977609428
Google,6,0.782309942
Google,17,0.844496021
Google,2,0.977609428
Google,3,0.876262626
Google,8,0.904975369
Google,10,0.853642654
Google,3,0.876262626
Google,18,0.815021411
Google,4,0.915122772
Google,3,0.876262626
Sphinx,38,0.634986021
Sphinx,45,0.606878307
Sphinx,28,0.45533033
Sphinx,29,0.670719128
Sphinx,105,0.461019957
Sphinx,154,0.494739709
Sphinx,37,0.669266557
Sphinx,24,0.676923077
Sphinx,12,0.725
Sphinx,36,0.600191571
Sphinx,30,0.66912516
Sphinx,20,0.583333333
Sphinx,25,0.734143083
Sphinx,39,0.609637188
Sphinx,17,0.636835749
Wit,42,0.75862069
Wit,8,0.915740741
Wit,24,0.583660131
Wit,46,0.735632184
Wit,36,0.733333333
Wit,17,0.639245014
Wit,13,0.863632266
Wit,5,0.962962963
Wit,1,0.924166667
Wit,42,0.75862069
Wit,36,0.551683502
Wit,8,0.828474372
Wit,34,0.715392304
Wit,24,0.74046879
Wit,1,0.924166667
